2026-09-14 10:56:10 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 11:05:35 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 11:09:34 [main] INFO  JOL - Objeto 'Pokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 11:19:12 [main] INFO  JOL - Objeto 'Pokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 12:01:39 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 13:14:28 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 13:15:41 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 13:19:24 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 13:19:54 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 13:20:25 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 13:20:46 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 13:21:31 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 13:23:53 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 13:29:26 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 13:30:35 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 13:36:01 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 216 bytes
2026-09-14 13:39:33 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 120 bytes
2026-09-14 13:44:32 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 120 bytes
2026-09-14 13:51:53 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 120 bytes
2026-09-14 13:55:15 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 120 bytes
2026-09-14 13:59:57 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 120 bytes
2026-09-14 14:01:59 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 120 bytes
2026-09-14 14:43:00 [main] INFO  JOL - Objeto 'miPokemon' | tamaño superficial: 24 bytes | con referencias: 120 bytes
